system:index,%_MANCHA_ALT_DO_LOTE,%_MANCHA_NPMEN20_DO_LOTE,%_MANCHA_NPTOTAL_DO_LOTE,ArM2_TOTAL_MANCHA_ALT,ArM2_TOTAL_MANCHA_NPMEN20,ArM2_TOTAL_MANCHA_NPTOTAL,CEU,CEU_Nome,CO_CEP,CO_DISTRIT,CO_ENTIDAD,CO_MUNICIP,CO_ORGAO_R,CO_UF,DS_COMPLEM,DS_ENDEREC,IN_LOCAL_1,IN_LOCAL_F,IN_PATIO_D,IN_QUADRA_,IN_QUADR_1,IN_TERREIR,IN_VINCULO,IN_VIVEIRO,NO_BAIRRO,NO_ENTIDAD,NO_MUNICIP,NO_UF,NU_ANO_CEN,NU_DDD,NU_ENDEREC,NU_TELEFON,Nome,SG_UF,TP_DEPENDE,TP_LOCALIZ,TP_LOCAL_1,TP_SITUACA,TipoNome,eq_areap,eq_bairro,eq_categor,eq_cd_catg,eq_cd_dirt,eq_cd_dist,eq_cd_mec,eq_cd_subp,eq_cep,eq_classe,eq_compend,eq_diretor,eq_distr,eq_dre,eq_email,eq_ender,eq_enderec,eq_eol,eq_esfera,eq_fone1,eq_fone2,eq_id,eq_nome,eq_num,eq_regiao5,eq_regiao8,eq_setor,eq_subpref,eq_telefon,eq_tipo,eq_zona,eq_zona_1,layer,t_CodMec,t_NoEsco,t_NoLote,.geo
1_1_1_000000000000000003fa,35.19162280545846,1.4587713632108361,1.4587713632108361,3904.025803404405,161.83058890819828,161.83058890819828,CEU SAO MATEUS,SAO MATEUS,8341240,355030833,35455921,3550308,19924,35,,CURUMATIM,0,0,0,1,1,0,1,0,PARQUE BOA ESPERANCA,CEU AT COMPL SAO MATEUS,São Paulo,São Paulo,2021,11,201,27328139,SAO MATEUS,SP,3,1,0,1,CEU SAO MATEUS,"3,55031E+12",PARQUE BOA ESPERANCA,ESCOLAS AUTONOMAS,1,10211,33,35455921,30,8341000,CEU,RUA,LESTE 3,IGUATEMI,SAO MATEUS,,CURUMATIM,CURUMATIM 199,35455921,MUNICIPAL,0,,5683,CEU AT COMPL SAO MATEUS,199,Leste,Leste 2,355030833000070,SAO MATEUS,00 /,CEU AT COM,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35455921,2352,2034,"{""type"":""Point"",""coordinates"":[-46.449316469617806,-23.60253191701897]}"
1_1_1_000000000000000009c7,35.19162280545846,1.4587713632108361,1.4587713632108361,3904.025803404405,161.83058890819828,161.83058890819828,CEU SAO MATEUS,SAO MATEUS,8341240,355030833,35058166,3550308,19924,35,,CURUMATIM,0,0,0,0,0,0,1,0,PARQUE BOA ESPERANCA,CEU EMEI SAO MATEUS,São Paulo,São Paulo,2021,11,201,27328130,SAO MATEUS,SP,3,1,0,1,EMEI SAO MATEUS,"3,55031E+12",PARQUE BOA ESPERANCA,ESCOLAS AUTONOMAS,1,10211,33,35058166,30,8341000,CEU,RUA,LESTE 3,IGUATEMI,SAO MATEUS,,CURUMATIM,CURUMATIM 201,35058166,MUNICIPAL,1127328129,1127328131,2097,CEU EMEI SAO MATEUS,201,Leste,Leste 2,355030833000022,SAO MATEUS,1127328129 / 1127328131,CEU EMEI,Urbana,Urbana,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35058166,1243,2034,"{""type"":""Point"",""coordinates"":[-46.449316469617806,-23.60253191701897]}"
1_1_1_000000000000000009c8,35.19162280545846,1.4587713632108361,1.4587713632108361,3904.025803404405,161.83058890819828,161.83058890819828,CEU SAO MATEUS,SAO MATEUS,8341240,355030833,35058178,3550308,19924,35,,CURUMATIM,0,0,0,0,0,0,1,0,PARQUE BOA ESPERANCA,CEU CEI SAO MATEUS,São Paulo,São Paulo,2021,11,201,27328148,SAO MATEUS,SP,3,1,0,1,CEI SAO MATEUS,"3,55031E+12",PARQUE BOA ESPERANCA,ESCOLAS AUTONOMAS,1,10211,33,35058178,30,8341000,CEU,RUA,LESTE 3,IGUATEMI,SAO MATEUS,,CURUMATIM,CURUMATIM 201,35058178,MUNICIPAL,1127328111,1127328112,2098,CEU CEI SAO MATEUS,201,Leste,Leste 2,355030833000070,SAO MATEUS,1127328111 / 1127328112,CEU CEI,Urbana,Urbana,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35058178,1244,2034,"{""type"":""Point"",""coordinates"":[-46.449316469617806,-23.60253191701897]}"
1_1_1_0000000000000000019d,26.498063633051466,2.4672331566624,2.7633010646554172,1965.1180453742577,182.972026388203,204.92866430372163,CEU AZUL DA COR DO MAR,JARDIM VILA NOVA,8225380,355030837,35271100,3550308,19912,35,,ERNESTO SOUZA CRUZ,0,0,0,0,0,0,1,0,CIDADE ANTONIO ESTEVAO DE CARVALHO,CEU EMEI JARDIM VILA NOVA,São Paulo,São Paulo,2021,11,2171,33979040,JARDIM VILA NOVA,SP,3,1,0,1,EMEI JARDIM VILA NOVA,"3,55031E+12",CIDADE ANTONIO ESTEVAO DE CARVALHO,ESCOLAS AUTONOMAS,1,10207,37,35271100,27,8225000,CEU,AVENIDA,LESTE 1,ITAQUERA,ITAQUERA,EMEIJVNOVA@SME.PREFEITURA.SP.GOV.BR,ERNESTO SOUZA CRUZ,ERNESTO SOUZA CRUZ 2171,35271100,MUNICIPAL,1133979040,1133979041,4518,CEU EMEI JARDIM VILA NOVA,2171,Leste,Leste 2,355030837000065,ITAQUERA,1133979040 / 1133979041,CEU EMEI,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35271100,2020,1065,"{""type"":""Point"",""coordinates"":[-46.45692022167397,-23.521901207372437]}"
1_1_1_0000000000000000019e,26.498063633051466,2.4672331566624,2.7633010646554172,1965.1180453742577,182.972026388203,204.92866430372163,CEU AZUL DA COR DO MAR,CONCEICAO APARECIDA DE JESUS PROFA,8225380,355030837,35271111,3550308,19912,35,,ERNESTO SOUZA CRUZ,0,0,0,1,1,0,1,0,CIDADE ANTONIO ESTEVAO DE CARVALHO,CEU EMEF CONCEICAO APARECIDA DE JESUS PROFA,São Paulo,São Paulo,2021,11,2171,33979056,PROFESSORA CONCEICAO APARECIDA DE JESUS,SP,3,1,0,1,EMEF PROFESSORA CONCEICAO APARECIDA DE JESUS,"3,55031E+12",CIDADE ANTONIO ESTEVAO DE CARVALHO,ESCOLAS AUTONOMAS,1,10207,37,35271111,27,8225000,CEU,AVENIDA,LESTE 1,ITAQUERA,ITAQUERA,EMEFCONCEICAOAPJESUS@SME.PREFEITURA.SP.GOV.BR,ERNESTO SOUZA CRUZ,ERNESTO SOUZA CRUZ 2171,35271111,MUNICIPAL,1133979060,,4519,CEU EMEF CONCEICAO APARECIDA DE JESUS PROFA,2171,Leste,Leste 2,355030837000065,ITAQUERA,1133979060 /,CEU EMEF,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35271111,2021,1065,"{""type"":""Point"",""coordinates"":[-46.45692022167397,-23.521901207372437]}"
1_1_1_0000000000000000043e,26.498063633051466,2.4672331566624,2.7633010646554172,1965.1180453742577,182.972026388203,204.92866430372163,CEU AZUL DA COR DO MAR,AZUL DA COR DO MAR,8225380,355030837,35455593,3550308,19912,35,,ERNESTO SOUZA CRUZ,0,0,0,1,1,0,1,0,CIDADE ANTONIO ESTEVAO DE CARVALHO,CEU AT COMPL AZUL DA COR DO MAR,São Paulo,São Paulo,2021,11,2171,33979000,AZUL DA COR DO MAR,SP,3,1,0,1,CEU AZUL DA COR DO MAR,"3,55031E+12",CIDADE ANTONIO ESTEVAO DE CARVALHO,ESCOLAS AUTONOMAS,1,10207,37,35455593,27,8225000,CEU,AVENIDA,LESTE 1,ITAQUERA,ITAQUERA,SMECEUAZULDACORDOMAR@SME.PREFEITURA.SP.GOV.BR,ERNESTO SOUZA CRUZ,ERNESTO SOUZA CRUZ 2171,35455593,MUNICIPAL,1133979014,,5657,CEU AT COMPL AZUL DA COR DO MAR,2171,Leste,Leste 2,355030837000065,ITAQUERA,1133979014 /,CEU AT COM,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35455593,2330,1065,"{""type"":""Point"",""coordinates"":[-46.45692022167397,-23.521901207372437]}"
1_1_1_0000000000000000096d,26.498063633051466,2.4672331566624,2.7633010646554172,1965.1180453742577,182.972026388203,204.92866430372163,CEU AZUL DA COR DO MAR,AZUL DA COR DO MAR,8225380,355030837,35298220,3550308,19912,35,,ERNESTO SOUZA CRUZ,0,0,0,0,0,0,1,0,CIDADE ANTONIO ESTEVAO DE CARVALHO,CEU CEI AZUL DA COR DO MAR,São Paulo,São Paulo,2021,11,2171,33979036,AZUL DA COR DO MAR,SP,3,1,0,1,CEI AZUL DA COR DO MAR,"3,55031E+12",CIDADE ANTONIO ESTEVAO DE CARVALHO,ESCOLAS AUTONOMAS,1,10207,37,35298220,27,8225000,CEU,AVENIDA,LESTE 1,ITAQUERA,ITAQUERA,CEICEUAZULDACORDOMAR@SME.PREFEITURA.SP.GOV.BR,ERNESTO SOUZA CRUZ,ERNESTO SOUZA CRUZ 2171,35298220,MUNICIPAL,1120422843,,4770,CEU CEI AZUL DA COR DO MAR,2171,Leste,Leste 2,355030837000065,ITAQUERA,1120422843 /,CEU CEI,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35298220,2121,1065,"{""type"":""Point"",""coordinates"":[-46.45692022167397,-23.521901207372437]}"
1_1_1_0000000000000000056b,15.036631123986613,9.422115193838769,8.725076457213822,26162.838762856838,16393.916868003285,15181.111158571948,CEU JACANA,JACANA,2276010,355030839,35455428,3550308,19928,35,,FRANCISCA ESPOSITO TONETTI,0,0,1,1,1,0,1,0,GUAPIRA,CEU AT COMPL JACANA,São Paulo,São Paulo,2021,11,105,33973950,JACANA,SP,3,1,0,1,CEU JACANA,"3,55031E+12",GUAPIRA,ESCOLAS AUTONOMAS,1,10104,81,35455428,6,2276000,CEU,AVENIDA,NORTE 2,TREMEMBE,JACANA/TREMEMBE,,FRANCISCA ESPOSITO TONETTI,FRANCISCA ESPOSITO TONETTI 104,35455428,MUNICIPAL,0,,5644,CEU AT COMPL JACANA,104,Norte,Norte 1,355030881000113,JACANA-TREMEMBE,00 /,CEU AT COM,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35455428,2319,233,"{""type"":""Point"",""coordinates"":[-46.5822570420666,-23.458463431690177]}"
1_1_1_0000000000000000095b,15.036631123986613,9.422115193838769,8.725076457213822,26162.838762856838,16393.916868003285,15181.111158571948,CEU JACANA,JACANA,2276010,355030839,35298268,3550308,19928,35,,FRANCISCA ESPOSITO TONETTI,0,0,1,1,1,0,1,0,GUAPIRA,CEU EMEF JACANA,São Paulo,São Paulo,2021,11,S/N,33973984,JACANA,SP,3,1,0,1,EMEF JACANA,"3,55031E+12",GUAPIRA,ESCOLAS AUTONOMAS,1,10104,81,35298268,6,2276000,CEU,AVENIDA,NORTE 2,TREMEMBE,JACANA/TREMEMBE,EMEFCEUJACANA@SME.PREFEITURA.SP.GOV.BR,FRANCISCA ESPOSITO TONETTI,FRANCISCA ESPOSITO TONETTI SN,35298268,MUNICIPAL,1122413248,1122435605,4774,CEU EMEF JACANA,SN,Norte,Norte 1,355030881000113,JACANA-TREMEMBE,1122413248 / 1122435605,CEU EMEF,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35298268,2125,233,"{""type"":""Point"",""coordinates"":[-46.58385178925754,-23.45732658879885]}"
1_1_1_0000000000000000095d,15.036631123986613,9.422115193838769,8.725076457213822,26162.838762856838,16393.916868003285,15181.111158571948,CEU JACANA,JACANA,2276010,355030839,35298273,3550308,19928,35,,FRANCISCA ESPOSITO TONETTI,0,0,0,0,0,0,1,0,GUAPIRA,CEU EMEI JACANA,São Paulo,São Paulo,2021,11,105,33973970,JACANA,SP,3,1,0,1,EMEI JACANA,"3,55031E+12",GUAPIRA,ESCOLAS AUTONOMAS,1,10104,81,35298273,6,2276000,CEU,AVENIDA,NORTE 2,TREMEMBE,JACANA/TREMEMBE,,FRANCISCA ESPOSITO TONETTI,FRANCISCA ESPOSITO TONETTI SN,35298273,MUNICIPAL,1122435651,,4775,CEU EMEI JACANA,SN,Norte,Norte 1,355030881000113,JACANA-TREMEMBE,1122435651 /,CEU EMEI,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35298273,2126,233,"{""type"":""Point"",""coordinates"":[-46.58385178925754,-23.45732658879885]}"
1_1_1_0000000000000000095f,15.036631123986613,9.422115193838769,8.725076457213822,26162.838762856838,16393.916868003285,15181.111158571948,CEU JACANA,JACANA,2276010,355030839,35298281,3550308,19928,35,,FRANCISCA ESPOSITO TONETTI,0,0,1,0,0,0,1,0,GUAPIRA,CEU CEI JACANA,São Paulo,São Paulo,2021,11,S/N,33973986,JACANA,SP,3,1,0,1,CEI JACANA,"3,55031E+12",GUAPIRA,ESCOLAS AUTONOMAS,1,10104,81,35298281,6,2276000,CEU,AVENIDA,NORTE 2,TREMEMBE,JACANA/TREMEMBE,,FRANCISCA ESPOSITO TONETTI,FRANCISCA ESPOSITO TONETTI SN,35298281,MUNICIPAL,1122435605,,4776,CEU CEI JACANA,SN,Norte,Norte 1,355030881000113,JACANA-TREMEMBE,1122435605 /,CEU CEI,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35298281,2127,233,"{""type"":""Point"",""coordinates"":[-46.58385178925754,-23.45732658879885]}"
1_1_1_000000000000000003ee,13.61724724333214,5.973426443247262,11.329550042343266,685.6856863143036,300.78715155822806,570.4905079270218,CEU SAPOPEMBA,SAPOPEMBA,3969000,355030876,35455933,3550308,19924,35,,MANUEL QUIRINO DE MATTOS,0,0,1,1,1,0,1,0,JARDIM SAPOPEMBA,CEU AT COMPL SAPOPEMBA,São Paulo,São Paulo,2021,11,S/N,20759110,SAPOPEMBA,SP,3,1,0,1,CEU SAPOPEMBA,"3,55031E+12",JARDIM SAPOPEMBA,ESCOLAS AUTONOMAS,1,10208,76,35455933,32,3969000,CEU,RUA,LESTE 4,SAPOPEMBA,SAO MATEUS,,MANUEL QUIRINO DE MATTOS,MANUEL QUIRINO DE MATTOS 10,35455933,MUNICIPAL,0,,5684,CEU AT COMPL SAPOPEMBA,10,Leste,Leste 1,355030876000170,SAPOPEMBA,00 /,CEU AT COM,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35455933,2353,2161,"{""type"":""Point"",""coordinates"":[-46.494146706922905,-23.609377844715873]}"
